"id","email","password","user_name"
"9","s3870123@rmit.edu.au","1234","Tony Stark"
"8","s3877455@rmit.edu.au","1234","Steve Rogers"
"7","s7654321@rmit.edu.au","1234","Robert DJ"
"6","s1234567@rmit.edu.au","1234","Peter Parker"
"5","s3874567@rmit.edu.au","1234","ACB Nguyen"
"0","s3877476@rmit.edu.au","1234","Min Nguyen"
"4","s3456666@rmit.edu.vn","1234","Yoo Knee"
"3","s3878100@rmit.edu.au","1234","Edmund"
"2","s3878566@rmit.edu.vn","01234","Duc Minh"
"1","s3877477@rmit.edu.vn","1234","Tuan Nguyen"
